Description,Part Number,Manufacturer,Distributor,Link,Unit Cost,Quantity,Total Cost,Notes,
Schrader Valve,8063K41,,McMaster-Carr,https://www.mcmaster.com/8063k41,$3.57 ,1,$3.57 ,,
6' Compressor Air Extension Hose,16,VIAIR,Amazon,https://www.amazon.com/VIAIR-00016-Portable-Compressor-Extension/dp/B00ELJD0BW,$5.60 ,1,$5.60 ,,
"Sch. 40 PVC 1/2"" Socket Male x 1/8"" NPT Female Bushing",4880K821,,McMaster-Carr,https://www.mcmaster.com/4880k821,$0.67 ,2,$1.34 ,,
"Sch. 40 PVC 1/2"" T Connect Female",4880k41,,McMaster-Carr,https://www.mcmaster.com/4880k41,$0.38 ,1,$0.38 ,,
"Sch. 40 PVC 1/2"" Conduit, 10ft",72808,JM Eagle,Lowes,https://www.lowes.com/pd/JM-Eagle-Common-1-2-in-Actual-0-62-In-Non-Metallic-Pvc-10-ft-Conduit/3129569,$2.16 ,1,$2.16 ,,
Brake cable housing,N/A,,Amazon,https://www.amazon.com/Pyramid-Lined-Cable-Housing-Roll/dp/B002G3BJG8,$0.98 ,2.5,$2.45 ,Unit cost is per meter. Minimum quantity is 15.24m (50 ft) @ $16.01,
"Stainless steel wire rope, 1/16""",KEROMER-001,KEROMER,Amazon,https://www.amazon.com/Stainless-Strand-inches-Breaking-Strength/dp/B07LBK24TG,$0.27 ,3,$0.81 ,Unit cost is per meter. Minimum quantity is 100m (328 ft) @ $29.99.,
Brake cable ferrule,N/A,KEROMER,Amazon,N/A,$0.00 ,2,$0.00 ,Ferrules are included with the KEROMER stainless steel cable.,
"Music Wire Steel Extension Spring - 2.25"" Long",9044K371,,McMaster-Carr,https://www.mcmaster.com/9044k371,$2.24 ,1,$2.24 ,Unit cost is per spring. Min quantity is 3 @ $6.74.,
"302 Stainless Steel Compression Spring - 1.25"" Long",1986K69,,McMaster-Carr,https://www.mcmaster.com/1986k69,$0.55 ,2,$1.11 ,Unit cost is per spring. Min quantity is 6 @ $3.32.,
"302 Stainless Steel Compression Spring - 2"" Long",1986K82,,McMaster-Carr,https://www.mcmaster.com/1986k82,$0.57 ,1,$0.57 ,Unit cost is per spring. Min quantity is 6 @ $3.41.,
"8"" Cable Ties",1295732,Utilitech,Lowes,https://www.lowes.com/pd/Utilitech-300-Pack-8-in-Cable-Ties/1000772324,$0.03 ,8,$0.26 ,Unit cost is per zip tie. Min quantity is 10 @ $3.09. Total quantity needed is currently unknown.,https://www.cabletiesandmore.com/weather-resistant-cable-ties
"#8 x 1/2"" Extra-Wide Rounded Head Drilling Screws",91515A100,,McMaster-Carr,https://www.mcmaster.com/91515a100,$0.05 ,12,$0.58 ,Unit cost is per screw. Min quantity is 100 at $4.83.,
"#4 x 1/2"" Philips Rounded Head Screws for Sheet Metal",90190A110,,McMaster-Carr,https://www.mcmaster.com/90190a110,$0.03 ,10,$0.27 ,Unit cost is per screw. Min quantity is 100 at $2.68,
"#4 x 3/4"" Philips Rounded Head Screws for Sheet Metal",90190A113,,McMaster-Carr,https://www.mcmaster.com/90190a113,$0.03 ,2,$0.06 ,Unit cost is per screw. Min quantity is 100 at $2.94,
,,,,,,,,,
,,,,,,,$21.40 ,,
